Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [10, 11, ['??']], Cor: [11, 11, []], Type: 'U:VERB:TENSE'","????? ?? ??? ?? ????? ??? ?? ?????? ???? ??? ???
","????? ?? ?????? ??? ?? ????? ??? ?? ?????? ???? ????
",,,
"Orig: [1, 2, ['??']], Cor: [1, 3, ['??', '??????']], Type: 'R:ADP'","????? ?? ????? ?? ???? ???? ????
","????? ?? ?????? ????? ?? ???? ???? ????
",,,
"Orig: [4, 5, ['????????']], Cor: [4, 5, ['?????????']], Type: 'R:NOUN'","??? ?????? ?????? ???????? ???????? ????
","??? ?????? ?????? ???????? ????????? ????
",,,
"Orig: [5, 6, ['??']], Cor: [5, 6, ['???']], Type: 'R:PRON'","????? ?? ???? ?? ?? ?? ?? ??? ?? ???? ???????
","????? ?? ???? ?? ?? ??? ?? ??? ?? ???? ???? ???????
",,,
"Orig: [9, 9, []], Cor: [9, 10, ['????']], Type: 'M:NOUN'","????? ?? ???? ?? ?? ?? ?? ??? ?? ???? ???????
","????? ?? ???? ?? ?? ??? ?? ??? ?? ???? ???? ???????
",,,
"Orig: [10, 11, ['??????']], Cor: [11, 12, ['??????']], Type: 'R:SPELL'","????? ?? ???? ?? ?? ?? ?? ??? ?? ???? ???????
","????? ?? ???? ?? ?? ??? ?? ??? ?? ???? ???? ???????
",,,
"Orig: [3, 4, ['??']], Cor: [3, 3, []], Type: 'U:ADJ'","???????????????' ?? ????-????? ??? ???? ??? ?????? ???
","???????????????' ????-????? ??? ???? ??? ?? ?????? ???
",,,
"Orig: [8, 8, []], Cor: [7, 8, ['??']], Type: 'M:ADJ'","???????????????' ?? ????-????? ??? ???? ??? ?????? ???
","???????????????' ????-????? ??? ???? ??? ?? ?????? ???
",,,
"Orig: [3, 5, ['????', '??']], Cor: [3, 4, ['????-??']], Type: 'R:OTHER'","?? ????? ??? ???? ?? ????? ?? ??? ???? ?? ????? ???? ?? ???? ????
","?? ????? ??? ????-?? ????? ????? ?? ??? ???? ???? ?? ???? ????
",,,
"Orig: [6, 6, []], Cor: [5, 6, ['?????']], Type: 'M:VERB'","?? ????? ??? ???? ?? ????? ?? ??? ???? ?? ????? ???? ?? ???? ????
","?? ????? ??? ????-?? ????? ????? ?? ??? ???? ???? ?? ???? ????
",,,
"Orig: [9, 11, ['??', '?????']], Cor: [9, 9, []], Type: 'U:OTHER'","?? ????? ??? ???? ?? ????? ?? ??? ???? ?? ????? ???? ?? ???? ????
","?? ????? ??? ????-?? ????? ????? ?? ??? ???? ???? ?? ???? ????
",,,
"Orig: [2, 3, ['????']], Cor: [2, 3, ['??????']], Type: 'R:ADJ'","?????? ?? ???? ???? ?? ???? ?? ?????? ?????? ???? ???? ?? ?????
","?????? ?? ?????? ???? ?? ???? ?? ?????? ???? ???? ???? ?? ?????
",,,
"Orig: [8, 9, ['??????']], Cor: [8, 9, ['????']], Type: 'R:ADJ'","?????? ?? ???? ???? ?? ???? ?? ?????? ?????? ???? ???? ?? ?????
","?????? ?? ?????? ???? ?? ???? ?? ?????? ???? ???? ???? ?? ?????
",,,
"Orig: [7, 8, ['????']], Cor: [7, 7, []], Type: 'U:ADV'","??? ????? ?? ????? ?? ??????? ?? ???? ?????? ????? ????
","??? ????? ?? ????? ?? ??????? ?? ???????? ???? ????? ????
",,,
"Orig: [8, 9, ['??????']], Cor: [7, 8, ['????????']], Type: 'R:ADJ'","??? ????? ?? ????? ?? ??????? ?? ???? ?????? ????? ????
","??? ????? ?? ????? ?? ??????? ?? ???????? ???? ????? ????
",,,
"Orig: [9, 9, []], Cor: [8, 9, ['????']], Type: 'M:NOUN'","??? ????? ?? ????? ?? ??????? ?? ???? ?????? ????? ????
","??? ????? ?? ????? ?? ??????? ?? ???????? ???? ????? ????
",,,
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??']], Type: 'R:ADP'","??? ?? ?? ?? ???? ?? ?? ???? ????? ?? ???? ???
","??? ?? ?? ?? ???? ?? ?? ????? ?? ?????
",,,
"Orig: [7, 8, ['????']], Cor: [7, 7, []], Type: 'U:PRON'","??? ?? ?? ?? ???? ?? ?? ???? ????? ?? ???? ???
","??? ?? ?? ?? ???? ?? ?? ????? ?? ?????
",,,
"Orig: [10, 11, ['????']], Cor: [9, 10, ['?????']], Type: 'R:OTHER'","??? ?? ?? ?? ???? ?? ?? ???? ????? ?? ???? ???
","??? ?? ?? ?? ???? ?? ?? ????? ?? ?????
",,,
"Orig: [11, 13, ['??', '?']], Cor: [10, 10, []], Type: 'U:OTHER'","??? ?? ?? ?? ???? ?? ?? ???? ????? ?? ???? ???
","??? ?? ?? ?? ???? ?? ?? ????? ?? ?????
",,,
"Orig: [1, 2, ['??']], Cor: [1, 2, ['????']], Type: 'R:SPELL'","?? ?? ?? ?????? ????? ????? ?? ????? ??? ???
","?? ???? ?? ?????? ????? ???? ?? ????? ??? ???
",,,
"Orig: [2, 3, ['??']], Cor: [2, 3, ['??']], Type: 'R:OTHER'","?? ?? ?? ?????? ????? ????? ?? ????? ??? ???
","?? ???? ?? ?????? ????? ???? ?? ????? ??? ???
",,,
"Orig: [4, 5, ['?????']], Cor: [4, 5, ['?????']], Type: 'R:VERB'","?? ?? ?? ?????? ????? ????? ?? ????? ??? ???
","?? ???? ?? ?????? ????? ???? ?? ????? ??? ???
",,,
"Orig: [5, 6, ['?????']], Cor: [5, 6, ['????']], Type: 'R:SPELL'","?? ?? ?? ?????? ????? ????? ?? ????? ??? ???
","?? ???? ?? ?????? ????? ???? ?? ????? ??? ???
",,,
"Orig: [2, 3, ['???????']], Cor: [2, 3, ['???????']], Type: 'R:SPELL'","?????? ?? ??????? ??? ???? ??????? ??????? ?? ??? ?????
","?????? ?? ??????? ??? ???? ?????? ??????? ?? ??? ?????
",,,
"Orig: [5, 6, ['???????']], Cor: [5, 6, ['??????']], Type: 'R:ADJ'","?????? ?? ??????? ??? ???? ??????? ??????? ?? ??? ?????
","?????? ?? ??????? ??? ???? ?????? ??????? ?? ??? ?????
",,,
"Orig: [2, 3, ['????????']], Cor: [2, 3, ['???????']], Type: 'R:SPELL'","?? ?? ???????? ???? ???
","?? ?? ??????? ???? ???
",,,
"Orig: [2, 4, ['??', '??']], Cor: [2, 3, ['????????']], Type: 'R:DET'","????? ??? ?? ?? ??????? ?? ?????? ???
","????? ??? ???????? ????? ?? ?????? ???
",,,
"Orig: [4, 5, ['???????']], Cor: [3, 4, ['?????']], Type: 'R:NOUN-NUM'","????? ??? ?? ?? ??????? ?? ?????? ???
","????? ??? ???????? ????? ?? ?????? ???
",,,
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['????']], Type: 'R:ADJ'","?? ????? ????? ????????????? ????
","?? ????? ???? ????????????? ????
",,,
"Orig: [3, 4, ['?????????']], Cor: [3, 4, ['?????????']], Type: 'R:SPELL'","???? ???? ??? ????????? ????
","???? ???? ??? ????????? ????
",,,
"Orig: [1, 2, ['??????']], Cor: [1, 2, ['??????']], Type: 'R:NOUN'","???? ?????? ?????? ?? ???? ?? ??????? ???
","???? ?????? ?????? ?? ???? ?? ??????? ???
",,,
"Orig: [1, 2, ['?????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","?? ????? ??? ??????? ?? ???? ????
","?? ???? ??? ??????? ?? ???? ????
",,,
"Orig: [0, 2, ['????', '???????']], Cor: [0, 1, ['????-???????']], Type: 'R:OTHER'",???? ??????? ???? ????? ???? ?? ?????? ????? ???,????-??????? ???? ????? ???? ?? ?????? ???,,,
"Orig: [7, 8, ['?????']], Cor: [6, 6, []], Type: 'U:VERB'",???? ??????? ???? ????? ???? ?? ?????? ????? ???,????-??????? ???? ????? ???? ?? ?????? ???,,,
