,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
77,"Orig: [8, 9, ['कर।']], Cor: [7, 10, ['कर', 'रहे', 'हैं']], Type: 'R:VERB-TENSE'","Orig: [8, 9, ['कर।']], Cor: [7, 10, ['कर', 'रहे', 'हैं']], Type: 'R:VERB-TENSE'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",R:VERB-TENSE,a,b,b,NO,a,NO
78,"Orig: [9, 9, []], Cor: [10, 11, ['।']], Type: 'M:PUNCT'","Orig: [9, 9, []], Cor: [10, 11, ['।']], Type: 'M:PUNCT'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",M:PUNCT,,,,NO,,NO
79,"Orig: [1, 4, ['अपनी', 'ताकत', 'के']], Cor: [1, 2, ['अपने']], Type: 'R:PRON-GEN'","Orig: [1, 4, ['अपनी', 'ताकत', 'के']], Cor: [1, 2, ['अपने']], Type: 'R:PRON-GEN'","राजा अपनी ताकत के बल पर जीत गया।
","राजा अपने बल पर जीत गया।
",R:PRON-GEN,a,g,g,NO,a,NO
80,"Orig: [1, 2, ['सबसे']], Cor: [1, 1, []], Type: 'U:ADV'","Orig: [1, 2, ['सबसे']], Cor: [1, 1, []], Type: 'U:ADV'","यह सबसे सुन्दरतम साड़ी है।
","यह सुन्दरतम साड़ी है।
",U:ADV,a,g,g,NO,a,NO
81,"Orig: [18, 19, ['है']], Cor: [18, 19, ['थी']], Type: 'R:VERB-TENSE'","Orig: [18, 19, ['है']], Cor: [18, 19, ['थी']], Type: 'R:VERB-TENSE'","वो "" धूम 3 "" में संक्षिप्त भूमिका में दिखीं जिसने भारतीय फ़िल्मों में सबसे ज़्यादा कमाई की है।
","वो "" धूम 3 "" में संक्षिप्त भूमिका में दिखीं जिसने भारतीय फ़िल्मों में सबसे ज़्यादा कमाई की थी।
",R:VERB-TENSE,a,g,g,NO,a,NO
82,"Orig: [8, 9, ['पुराना']], Cor: [8, 9, ['पुराने']], Type: 'R:ADJ-NUM'","Orig: [8, 9, ['पुराना']], Cor: [8, 9, ['पुराने']], Type: 'R:ADJ-NUM'","1919 में स्थापित , यह भारत में सबसे पुराना इंजीनियरिंग संस्थानों में से एक है।
","1919 में स्थापित , यह भारत में सबसे पुराने इंजीनियरिंग संस्थानों में से एक है।
",R:ADJ-NUM,a,g,g,NO,a,NO
83,"Orig: [11, 12, ['छोटे']], Cor: [11, 12, ['छोटा']], Type: 'R:ADJ-NUM'","Orig: [11, 12, ['छोटे']], Cor: [11, 12, ['छोटा']], Type: 'R:ADJ-NUM'","बुध ग्रह सौरमंडल के बडे उपग्रहों गेनिमेड और टाइटन से भी छोटे है , हालांकि यह उनसे भारी जरुर है .
","बुध ग्रह सौरमंडल के बडे उपग्रहों गेनिमेड और टाइटन से भी छोटा है , हालांकि यह उनसे भारी जरुर है .
",R:ADJ-NUM,a,g,g,NO,a,NO
84,"Orig: [8, 9, ['पूरा']], Cor: [8, 9, ['पूरे']], Type: 'R:ADJ-NUM'","Orig: [8, 9, ['पूरा']], Cor: [8, 9, ['पूरे']], Type: 'R:ADJ-NUM'","कुछ मिशन केवल एक ही किरदार के साथ पूरा होते हैं और कुछ दो या तीन के साथ .
","कुछ मिशन केवल एक ही किरदार के साथ पूरे होते हैं और कुछ दो या तीन के साथ .
",R:ADJ-NUM,a,g,g,NO,a,NO
85,"Orig: [3, 4, ['पुराना']], Cor: [3, 4, ['पुराने']], Type: 'R:ADJ-NUM'","Orig: [3, 4, ['पुराना']], Cor: [3, 4, ['पुराने']], Type: 'R:ADJ-NUM'","जीवन के सबसे पुराना निर्विवादित सबूत ३ ५ अरब वर्ष पुराने हैं .
","जीवन के सबसे पुराने निर्विवादित सबूत ३ ५ अरब वर्ष पुराने हैं .
",R:ADJ-NUM,a,g,g,NO,a,NO
86,"Orig: [1, 2, ['अच्छा']], Cor: [1, 2, ['अच्छे']], Type: 'R:ADJ-NUM'","Orig: [1, 2, ['अच्छा']], Cor: [1, 2, ['अच्छे']], Type: 'R:ADJ-NUM'","आप अच्छा लेख बनाते है और साथ में संदर्भ भी जोड़ते है ये अच्छी बात है .
","आप अच्छे लेख बनाते है और साथ में संदर्भ भी जोड़ते है ये अच्छी बात है .
",R:ADJ-NUM,a,g,g,NO,a,NO
87,"Orig: [5, 6, ['काला']], Cor: [5, 6, ['काले']], Type: 'R:ADJ-NUM'","Orig: [5, 6, ['काला']], Cor: [5, 6, ['काले']], Type: 'R:ADJ-NUM'",इस पार्क में कभी कभार काला भालू भी देखे जाते हैं .,इस पार्क में कभी कभार काले भालू भी देखे जाते हैं .,R:ADJ-NUM,a,g,g,NO,a,NO
